fold,dataset,loss,accuracy
1,train,1.2222806455514816,0.49507575757575756
1,val,1.2400406014968153,0.5015151515151515
1,test,1.2110321150782735,0.5344696969696969
2,train,1.2107518287813628,0.5016414141414142
2,val,1.1952788511007246,0.5109848484848485
2,test,1.201318939846156,0.5348484848484848
3,train,1.0532699154696876,0.5739898989898989
3,val,1.121021756104194,0.5128787878787879
3,test,1.0789501718143888,0.5787878787878787
4,train,1.2005147915639252,0.5068181818181818
4,val,1.2035703197374144,0.5056818181818182
4,test,1.2069772742605136,0.5242424242424243
5,train,1.2403070238014395,0.49053030303030304
5,val,1.2692037386552615,0.4590909090909091
5,test,1.2466529346050972,0.5196969696969697
